"","dept","comments_RAP","comments_coding_practices","comments_coding_support","comments_survey","comments_other"
"750","Ministry of Housing, Communities and Local Government (excl. agencies)","Not enough time is allocated to allow analysts time to understand the process and implement it",NA,"This is difficult as we are continually offered training in our role and coding opportunities, however due to time constraints and the speed at which we are expected to deliver analysis often I end up converting to less complicated means e.g. excel",NA,"I feel coding should be an integral part of a statistician's role, but legacy systems and lack of time are getting in the way of being able to put it into practice"
"751","Welsh Government",NA,NA,"Lessons in implementing RAP and coding skills 
Specialist advice on how to implement more automation in our data processes ",NA,NA
"752","Ministry of Justice (excl. agencies)","There are oddities in our data that require manuel adjustments",NA,NA,NA,NA
"753","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,NA,"specialists, with time, to help implement RAPs","more basic questions might help draw out the fuller range of experience in ADD ",NA
"755","Department for Work and Pensions","No one is making a fuss about them.",NA,NA,NA,NA
"756","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,NA,"government wide standards, so we know we're building the ""right"" thing",NA,NA
"757","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,NA,"Introducing mandatory R and SQL training","No","No"
"759","Scottish Government (excl. agencies)",NA,NA,"Training.",NA,NA
"760","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,NA,"more time/people",NA,NA
"763","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,NA,"Training","Whether we feel there are enough opportunities to learn to code, and whether we feel able to introduce coding into our work.",NA
"764","Office for National Statistics",NA,NA,"Understanding what it is","No",NA
"765","Ministry of Justice (excl. agencies)",NA,NA,"Nothing more than we already have - mentors, regular meetings, in-house training.  Barrier to progressing RAP is time to focus on it alongside other priorities",NA,NA
"768","Ministry of Housing, Communities and Local Government (excl. agencies)","I do not have sufficient coding experience or knowledge implementing RAP but I think it would be highly beneficial for my team to do so in the near future if possible",NA,"Training on coding skills (e.g. R) and particularly arranging workshops with champions/experts to discuss potential uses of RAP",NA,NA
"770","Ministry of Justice (excl. agencies)",NA,NA,"Slide pack to start with, followed by a practical session",NA,NA
"771","Ministry of Housing, Communities and Local Government (excl. agencies)","Lack of resources to explain the specifics, but I am endeavouring to make our end-to-end data pipleine more replicable by increasing the amount of code used rather than manual processes",NA,"More specification of what is needed in a RAP - we are confident in principle but there are likely things we are missing.",NA,NA
"772","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,NA,"possibly a code reviewer to identify ways of improving scripts",NA,NA
"773","Office for National Statistics","A lot of development work is currently happening in the prod environment as dev and test environments are poorly supported and security rules limit the usability of these.

Security rules limit the sharing of code between different projects, so the same things need to be done multiple times and there is little emphasis on re-usability.",NA,"Better recruitment and retention of technical expertise for peer-learning and allowing for exposure to a broader range of projects using these techniques.",NA,NA
"775","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,NA,"More access to learning & having the opportunity and priority given to using it in the role. I did go on a SQL training, but haven't really had the opportunity to use it since and I'm forgetting some of it. ",NA,NA
"779","National Records of Scotland",NA,NA,"Increasing the consistency and ease with which Integrated learning packages to develop our skills in various coding languages, such as R or Python, can be accessed. Limited range of options due to remote working restrictions.",NA,NA
"783","Ministry of Defence",NA,NA,"- It would helpful if information on what tools are available from whom, and how to set them up was clearly available from somewhere. As well as a clearpath of contacting the right people are tools to request and for what reasons",NA,NA
"784","HM Revenue and Customs",NA,NA,"open source coding for all types of data production stages and in different programs, case studies and examples of RAPs methods and how these were done",NA,NA
"785","HM Revenue and Customs","We have not discussed the possibility of employing RAP methodology in our processes.",NA,"A coaching-style session where we could identify some of our processes that could use RAP and then view examples of similar RAPs from elsewhere so we could use that as a template for our own processes.",NA,NA
"788","Home Office (excl. agencies)",NA,NA,"more resource in my team",NA,NA
"791","Ministry of Defence",NA,NA,"Mandatory Training Introduced to bring about a baseline analyst skill level","line management understand of the roles of differences between data analyst / data scientist / data engineer",NA
"792","Ministry of Defence",NA,"I would be keen to learn more about these, if had an opportunity, to be able to use them.","Wider understanding of data at an appropriate level (with appropriate authority) to support appropriate improvements (incl. understanding of available tools & possibilities of improving current working practices; creating capacity - potentially incl. creating appropriate, new posts); supporting change.
Is there any internal training available, re available tools, for wider MOD?",NA,"I am always keen to find out more about the use of programming in government analysis and research & learning about good working practices."
"795","Welsh Government","Not something we've considered. No real knowledge.","Are these reserved just for the 'elite'?","A local champion giving an overview","Asking about opportunities","Are the results of this survey going to be acted upon?"
"796","Home Office (excl. agencies)",NA,NA,"More reproducible code 
","I want SPSS back! ",NA
"799","Office for National Statistics",NA,"I'm not writing big packages at the moment, just small bespoke pieces of code.",NA,NA,NA
"800","Department for Work and Pensions","We cannot implement RAP on departmental data sets unless it uses Universal credit. There are no open source tools associated with departmental analytical datasets.",NA,"The existence of open source software alongside analytical datasets","I would love to see figures on how many departments can work on their analytical datasets in R or Python. I suspect it's most and DWP are a bit behind.",NA
"801","Department for Work and Pensions",NA,NA,"A standard development platform
Standard practices deocumented","where is data stored, how is it ingested ",NA
"802","Department for Work and Pensions","If you answer don't understand RAP then subsequent answers will be disagree!",NA,"Need software and data in same place to code",NA,NA
"803","Welsh Government",NA,NA,"Unsure","Unsure","Survey straightforward, unfortunately didn't understand a lot of the terminology (although this is not a fault of the survey!)"
"805","Department for Work and Pensions",NA,"My team also work in agile, using Jira as the support tool",NA,NA,NA
"806","Cabinet Office (excl. agencies)","I know that I have come across RAP resources in CO before, but short of contacting individuals directly I wouldn't know where to find them.","Some of the practices outlined are inaccessible or difficult for government work - for example open sourcing. ","Best practice guidance documents, and greater awareness of the need to implement RAP. A lot of work is improving legacy operations which were not set up for RAP. ","It would be good to see how much of a restriction the availability of software is on govt machines to the work that people are able to do.","Software installation is a difficult process, which can make it difficult to explore new avenues of analysis, particularly when you are not experienced enough with it yourself to really push for it to be made available."
"808","Cabinet Office (excl. agencies)","Not connected to the RAP network, nor know who the champion is in my department. I only know of 'RAP' because I was an 'open science' champion during my doctorate and implemented Reproducible Research, which RAP seems to be based on.",NA,NA,"Review and change some single-choice options to multiple choice options.",NA
"810","HM Revenue and Customs","We don't work on publications, but a RAP framework would help streamline some manual monthly reporting processes. Currently not working on this - no time due to additional pressure from analysis to support Covid work.","This is so cool. I wish I worked somewhere where people knew or cared what this stuff is. ","Being given some time to develop the necessary skills by taking on relevant projects where these techniques could be used. ","No",NA
"812","Cabinet Office (excl. agencies)","All of the numerical analysis I do in my current role can be done on the back of a fag packet",NA,"work that actually needs it
mine does not","If a RAP is actually appropriate to our work",NA
"813","Cabinet Office (excl. agencies)",NA,NA,"Training ","How long people have been in there role",NA
"814","Cabinet Office (excl. agencies)",NA,NA,"training",NA,NA
"815","Cabinet Office (excl. agencies)",NA,NA,"workshops with tasks for people to go away and try.",NA,NA
"818","Department for Transport (excl. agencies)",NA,"I work on and off network. Off-network Git/hub, travis, environment controls are possible. On-network is being improved to make it possible.","Better support from IT - they seem behind the times. workshops itched at statistical publication teams","how supportive / able to support is your IT department. ",NA
"819","Other",NA,NA,"Training.  Face to face and online resources",NA,NA
"820","Cabinet Office (excl. agencies)",NA,NA,"training and access to software",NA,NA
"821","Cabinet Office (excl. agencies)",NA,NA,"Easy to access free training",NA,NA
"824","Department for Transport (excl. agencies)",NA,NA,"Access to training tools to build up capability of the most relevant coding packages, but also practical training on where coding can be most usefully applied in the analysis.",NA,NA
"825","Department for Transport (excl. agencies)",NA,"no, I don't use code at all at the moment so I wasn't sure how to answer these questions","Workshops and Q&As","if I have an interest in learning code",NA
"826","Department for Transport (excl. agencies)",NA,"To my knowledge, things like Github aren't available to most analysts in the department yet, but this is being worked on","Currently running Coffee and Coding sessions which I have found to be very useful, as they show what other projects are being done across HMG, lessons learnt and the code itself in some cases. ",NA,NA
"828","Department for Transport (excl. agencies)",NA,"How can code automatically quality assure data? I would expect all QAs to include another person checking the code to sense check and ensure replicability...","We're going to be running more training sessions on Stata, but otherwise ensuring access to training courses and having the opportunity to practice is the most important thing. ",NA,NA
"829","Department for Transport (excl. agencies)","I've not had formal training on how to write in RAP and my team currently do not have a need to use it.",NA,"Background on how to write, how to identify opportunities","None",NA
"830","Other",NA,NA,"yes","Details of routes available within government to achieve some of the qualifications listed.",NA
"832","Cabinet Office (excl. agencies)",NA,NA,"Best practice guidance or demonstrations",NA,NA
"833","Department for Transport (excl. agencies)",NA,NA,"courses for different levels",NA,NA
"835","Home Office (excl. agencies)",NA,NA,NA,"further than just ask do we use some technique or language, ask a follow up of do you want to/ need to use this?",NA
"836","Other","I feel my organisation has reduced RAP to using a particular programming language (R) so support for RAP means support for R.",NA,"Stop treating R as ""the only game in town"" for data science.",NA,NA
"838","Department for Transport (excl. agencies)",NA,NA,"Have less resistance to automation 
Sessions were someone talks people new to RAP through existing examples",NA,NA
"840","Department for Transport (excl. agencies)",NA,"Again, nowadays I occasionally get involved with small prototypes directly, but I am at least one remove from most of the detail.  I need to ensure that the controls are in place but I don't operate them myself","Support is generally good but recently the COVID19 response has been consuming all the available bandwidth.  In fact the number of storm clouds on the horizon, politically, I am concerned that BAU will get swept away by the tide of emergencies","I no longer really fit the survey because I am changing from being someone who does into someone who organises.  But actually my influence is increasing not decreasing.  So I think you need to better capture the distinction between direct and indirect use","I don't know if I know about RAP is it the same or different from the GDS pipeline? I certainly don't find being invited to learn yet another three letter acronym is attractive. But the issues and practices you mention are too important to be damaged by poor branding or poor integration with other digital initiatives.  You need to see every engagement (including the survey) as an opportunity to promote good practice."
"842","Other",NA,NA,"Unit testing, Travis, etc",NA,NA
"844","Cabinet Office (excl. agencies)",NA,NA,"More consistent training and chances to apply to learnings. These are only available maybe twice a year. 

We need more consistent training opportunities to learn coding and programming. ","Time spent using the various coding programmes. In reality, my role would benefit hugely from being to programme and code, however I realistically end up doing almost none becuase the learning curve is so steep and the amount of time I'd need to invest in it is too high given the demands of the day job. ",NA
"846","Cabinet Office (excl. agencies)","mostly not applicable",NA,"training ",NA,NA
"848","Ministry of Defence","Don't know anything about RAP, only seen it mentioned in a MS Teams news feed",NA,"Easy access to Python for everyone",NA,NA
"852","Other","Plans for RAP are future",NA,"I'm only person with R skills in my team - others need upskilled in R . We need more time for me to learn GitHub etc & working knowledge of rap. We all need time to learn R as move from SPSS.",NA,NA
"854","HM Revenue and Customs",NA,NA,"Good practice for RAP",NA,NA
"856","Department for Transport (excl. agencies)",NA,NA,"I guess some help from a RAP champion or user to help do this.  I'm not too familiar with RAP so perhaps in a way we are already doing it (subconciously)","Nope.","Nope."
"857","Department for Transport (excl. agencies)",NA,NA,"More beginners courses in coding",NA,NA
"858","Ministry of Justice (excl. agencies)",NA,NA,"Some consultancy from an expert on our projects",NA,NA
"861","Department for International Trade",NA,NA,NA,NA,"Question on whether we can code at a suitable level for a jobs was a poorly written question. Were you asking whether the person can code in that language, or whether they can at a level for their job? If it's not needed for the job but you can't code well in it, unclear what to say."
"863","Scottish Government (excl. agencies)",NA,NA,"CPD opportunities and training sessions for specific coding skills.",NA,NA
"864","Department for International Trade",NA,NA,"Time! The problem we have is that there's a lot of things we can automate but we're already very stretched, so finding time to code is challenging. The team already have sufficient coding skills.",NA,NA
"865","Department for Transport (excl. agencies)",NA,NA,NA,"Start date - I am brand new here so still learning what platforms I have opportunity to use. 
",NA
"866","Department for Education",NA,NA,"Free subscriptions to online coding schools e.g. Datacamp and access to internal taught courses for developing coding skills. To help implement RAP, it would be good to have a dedicated team with expertise in this area to help support implementation (it does not have to be the only work that they do however).","What coding skills do you have, e.g. loops, functions, statistics, machine learning etc. and how often do you use them.",NA
"869","Home Office (excl. agencies)","I only know of RAP's existence from a HOAI overview. I have no further knowledge. However, I have alerted some colleagues to RAP as a result of the overview as it may be useful to them as they produce official documents.",NA,"I would need to know more about RAP to answer this question",NA,NA
"872","Department for International Trade","I don't know much about RAP, and not sure where to get more information",NA,"More information on RAP, and better promotion of standard coding practices such as data assumptions logs",NA,NA
"873","Scottish Government (excl. agencies)",NA,NA,"I have heard of RAP but don't really remember what it is. So maybe some kind of interactive event about how to use this in our work. Also more advanced SAS training might be useful (e.g. data visualisation).","Don't know",NA
"874","Office for National Statistics",NA,NA,"n/a","no","no"
"876","Department for International Trade",NA,NA,"peer mentoring, training courses",NA,NA
"878","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,"This section is biased towards certain software and data practises that makes it difficult to answer in a useful way. The level of code and checks undertaken should be based on the complexity of data and risks involved these questions do not take this into account.","A risk assessment chart to help guide the right amount of governance versus risk and resource. 

Better access to training - the GSS could provide more but I commend efforts to expand the online offer.",NA,NA
"880","Public Health England",NA,NA,"Access to Datacamp for all who need it.",NA,NA
"881","Office for National Statistics","I've heard of RAP and seen the guidance briefly. It's not something that is promoted in my division. I personally would like to know more about it.",NA,"RAP taster sessions or workshops to help us understand what RAP is and why it could be of benefit.","It doesn't capture the use of Blaise, which is heavily used in my area.",NA
"883","Public Health Scotland","Most analysts in my team do not know what RAP is nor have the software engineering/coding skills/knowledge to implement RAP.",NA,"Training in software engineering principles.",NA,NA
"884","Department for Transport (excl. agencies)",NA,NA,"A RAP training session and support group ",NA,NA
"887","Ministry of Defence",NA,NA,"RAP mentoring for first RAP project.",NA,NA
"888","Home Office (excl. agencies)",NA,NA,"Training, and regular training","NO",NA
"889","Department for Business, Energy and Industrial Strategy (excl. agencies)",NA,NA,"Easily accessible resources, RAP champion designation, steer and benefits.",NA,NA
"891","Office for National Statistics",NA,NA,"Self-learning via my laptop. ",NA,NA
"892","Scottish Government (excl. agencies)",NA,"work demands through covid mean some of our analysis wouldn't be available on time if we spent time doing the usual coding documentation.","finding time to develop coding skills in languages the government seems more open to (R rather than Python for me) would be welcome, not been very easy during covid to do the development work I had planned","what analysts' perceptions of the marginal impacts of coding output are. Under some of our pressures, analysis that would have been better in a fully coded model had to be produced at short notice in excel, partly to better integrate with teams that we haven't worked with before",NA
"893","Other",NA,"A lot of our analysis is to meet a one-off need and is done by one person in a couple of weeks max.  So we are only currently investigating the RAP approach for Official Statistics releases, where the additonal work leads to benefits over multiple interations.","Fundamental training on the IT terminology and principals used in much of the currently available guidance (I struggle with this as it is very different from say the SPSS scripts commonly used in Social Science).  Examples of RAP being applied to survey data. Guidance about what principals could apply to smaller analytical projects.  ",NA,NA
"894","Department for International Trade","I don't know enough about RAPs at the moment",NA,NA,NA,NA
"896","Department of Health and Social Care (excl. agencies)","The GSS session I attended on RAP was focused on official statistics production, and I don't have experience working on this. ",NA,NA,NA,"Often very difficult to get access to the right tools. Different departments have access to different tools. Makes it more challenging to develop programming experience."
"897","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,NA,"More resource in my team. Producing the annual and quarterly releases on the usual routine does not leave much time for development work so it's difficult to implement new techniques without additional resource. ","Maybe ask what training coders have had access to to develop their skills",NA
"900","Welsh Government",NA,NA,"Analysis of how RAP could help in specific situations and skills training (on RAP and appropriate coding skills)",NA,NA
"901","HM Revenue and Customs",NA,"Introduction of Git has been announced but has yet to be rolled out. ","I think more could be done in terms of promoting RAP. Whether this is spreading awareness across government or helping RAP champions promote within their departments. Despite being in a department with quite a large analytical community, I probably wouldn't be aware of RAP if I hadn't been introduced to it in a previous role elsewhere. ",NA,NA
"902","Department of Health and Social Care (excl. agencies)","If I need support in this area I currently don't know who my RAP champion is. So I would instead ask my manager and search online for help in this area if required.",NA,"Online training courses.",NA,"Myself and my team rarely make use of coding knowledge. However, it maybe useful to do so more in the future.
Thank you"
"903","Department for Education","Currently work in a policy facing analysis role where tend to mainly deal with ad hoc/short term requests - RAP perhaps more suited to teams working on publications etc. However, there are certainly aspects of RAP that would be beneficial to bring into my work - to some extent have carried on working without them as can 'get by' without them (for the moment), and tend to work in a similar way as others in my team",NA,NA,NA,NA
"904","Department for Business, Energy and Industrial Strategy (excl. agencies)","Most of work is one-off/ad hoc",NA,"Examples of best practice, particularly from local area/department",NA,NA
"906","Welsh Government","While there is considerable support from colleagues to create RAP, the resources available are very limited.
The only consistently available programming language is SQL (with T-SQL extension), which while being a procedural language lacks a number of the features available in a language like Python. This does not lend itself to RAP, especially if it requires visualisation.
There is ongoing development to allow the use of more programming languages.","A number of these questions are difficult to answer as the only consistently available coding language in the department is T-SQL.
As a result code rarely reaches the complexity necessary to justify the use of most of the above practices.
While T-SQL is a procedural extension to SQL it is fairly awkward/limited to code in.","The full backing of ICT section of the department to develop the availability of programming tools.
Often the impression seems to be that ICT views anything but the simplest tools as a security risk.
There's also an apparent lack of consultation and communication from the ICT section with regards to how/when decisions are made.
More tools and more control over how those tools are developed would be very helpful.","Measures to indicate how the availability or lack of a variety of tools changes the kind of analysis that's done/attempted.
As in, with access to Python are analysts more likely to use more complex analytical techniques. I suppose it would likely be difficult to detect a causal link, though a direct question is an option.","The size of the comment boxes could be either larger or adjustable. It's difficult to see what you've written when it's condensed that much."
"907","Welsh Government",NA,NA,"training",NA,NA
"908","Ministry of Justice (excl. agencies)",NA,"My role is much more advisory than hands on","More resources - at the moment people do RAP when they have a spare moment",NA,"Greater efficiencies could be made by cross govt sharing of code/packages (at least those using a similar tool such as github) and training."
"909","Ministry of Justice (excl. agencies)","I don't really know what RAP is but will look out for it now that it seems so important in this survey.",NA,"Introduction to RAP",NA,NA
"910","Ministry of Justice (excl. agencies)",NA,NA,"We are in the process of changing our main data source which makes it difficult for new people to join the RAP project. Support here is needed before RAP support can be useful.","Possibly more questions on barriers to entry.",NA
"911","Office for National Statistics","Have no knowledge on how to implement RAP and no-one in our team has done similar. We don't work on regular outputs, so potentially have limited need for it, but have limited knowledge so can't say for certain. ",NA,"Training relevant to our work, to see if it's useful and something we can explore.
Information on RAP and what it involves.",NA,NA
"913","Ministry of Justice (excl. agencies)",NA,NA,"Training and time available for development",NA,NA
"915","Ministry of Justice (excl. agencies)",NA,NA,"Having some time ",NA,NA
"916","Other","Where the data is and where the tools are, are not connected.
I don't know where to find resources/training.
We  are just so busy and it takes time to work out new stuff and convince people that it is a good use of time.",NA,"Training going from basic to advanced and approachable people who are okay with people that don't know what they are talking about but can code",NA,NA
"917","Welsh Government",NA,NA,"i don't know what RAP is",NA,"at welsh government the ability to use Python and R is only being developed now - and won't be usable for several months, which seems like an odd oversight. previously worked at ONS where these packages were the default "
"919","Office for National Statistics",NA,NA,NA,NA,"More opportunities to learn coding, would that be useful to some?
Tasks to help people learn"
"920","Welsh Government",NA,"There are things I may do without knowing what they are called.",NA,NA,NA
"924","Department for Transport (excl. agencies)","Don't have the resource to commit to our RAP areas","Most missing coding practices are due to IT constraints / lack of resource","Senior commitment to free up resource in our area",NA,NA
"925","Public Health England","Have always keep original data, code to produce working datasets and code to provide analyses or visualisations from the working data. Have done this for many years and feel this provides the means of reproducing analytical output",NA,"coding standards","No",NA
"926","Public Health Scotland",NA,"It is likely that some of these (continuous integration technologies, dependency management and workflow packages) would be useful for me, but I have yet to learn how to use them.","Guidance for unit testing and logging of results.","None.","None."
"928","Other",NA,"I don't do this type of work",NA,NA,NA
"930","Office for National Statistics",NA,"Only that I don't actually code in my current role; I'd like to, as it would make my job easier, but don't have the skills.",NA,NA,NA
"933","Department for Transport (excl. agencies)",NA,NA,"Better tools 

Our R Studio implementation in Citrix is not fit for purpose. We need a cloud installation asap","What online platforms have you learnt how to code in? ","Please use another platform for survey 

e.g. typeform"
"934","Cabinet Office (excl. agencies)",NA,NA,"Perhaps seeing more demonstration of where and how it would be useful, and how much time it would take to develop skills enough to be able to do useful things with them. ",NA,NA
"935","Ministry of Justice (excl. agencies)","I feel that RAP is a redefinition of just documenting your code so that another person can read it, edit it, and not mess it up.  This as been best practice since the 1970s but it now has a different name.  I disagreed with statements above because I don't know if RAP is any different to coding best practice that I was taught when originally learning how to code in elementary school nearly 30 years ago.","Most of my code writing is for bespoke or ad hoc data analysis.  It's not data base management or processing, no data reporting, no dashboard work.  Just old school multivariate statistical analysis.","Show me how RAP is any different to best practice in code writing for multivariate statistical analysis.",NA,"Better Git hub training for ad hoc or bespoke statistical analysis -- rather than statistical publication/data dissemination or dashboard creation.  These latter products are ripe for RAP whereas one-off multivariate analyses are not, it would seem to me.  Need to know why this is relevant."
"937","Welsh Government",NA,NA,"Active offer from central GSS to come and present to each department about RAP","Willingness to learn new coding skills and new ways of working","Clearly this is a very important area where not enough progress has happened in the past few years. Perhaps HoPs should be asked what support they need to implement RAP in their departments."
"938","Welsh Government",NA,NA,"Beginner level training",NA,NA
"941","Department for International Trade",NA,NA,"Guidance on implementation of good practice in RAP and how it is used across government. More support from centre on ways to implement and methods that can be used.",NA,NA
"942","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,"Would be good to hear about it in the GSE newsletter for Defra or similar, or hear about opportunities to learn, and hear what it can help you with in your day job.",NA,NA
"945","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,"Tutorials on best practise",NA,NA
"946","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,"Set of resources for RAP",NA,NA
"947","Welsh Government",NA,NA,"Opportunities are to learn new coding languages are rare - we tend to stick to the same old ways of doing things which can be frustrating.

No one to QA my coding as most of the team are not confident in that skill set",NA,NA
"948","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,"Workshops, introductory basis and clinics to address problems","no","no"
"951","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,NA,NA,"In most part of my work we simply do not have the data to any analysis with."
"952","Department for Environment, Food and Rural Affairs (excl. agencies)","No-one else is aware of this",NA,"Mandatory  protocols that the team has to incorporate into their analysis - along with free and continuous training opportunities","Frequency of coding - and reasons why coding is not incorporated into analysis",NA
"953","Defence Science and Technology Laboratory",NA,NA,"Training in RAP because I have not heard of it.
Links to courses in coding.",NA,NA
"954","Other",NA,NA,"Online resources with some available teaching","Maybe timescale questions - 'how often do you...daily/weekly/occasional' &c.",NA
"956","Ministry of Justice (excl. agencies)",NA,NA,"Training courses on RAP or teams doing presentations on how they implemented RAP.","No","No further comments"
"957","Office for National Statistics","Time and resource. ",NA,NA,NA,NA
"958","Public Health England",NA,NA,"training, access to software ie spss","no",NA
"959","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,"Coding training courses and training explaining what RAP is and how to implement it",NA,NA
"961","Department for International Trade",NA,NA,"Training on RAP and continuous deployment for R products",NA,NA
"962","Department for Environment, Food and Rural Affairs (excl. agencies)","I know very little about how RAPs work and can be built into processes",NA,"It would need the culture to change to a point where coding HAS to be done.  Otherwise we are unlikely to invest the considerable amount of time required to learn coding and create completely new processes.",NA,NA
"965","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,"To be able to use anything other than R. That seems to be all we can use and its been such a fight to get a modern version of it and Rstudio installed.",NA,NA
"966","Public Health Scotland","Although I have heard of RAPs (and probably use some of the principles) I have no working knowledge of them.",NA,"Adoption of an organisation-wide SOP.","Data on how much recognition of these skills exists across organisations",NA
"968","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,"Further support on reproducibility, e.g. guidance on how to use Git/GitHub. Knowledge in this area is currently silo'd and there are often technical issues in using the software on work laptops",NA,NA
"969","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,"I don't think that's a necessity for my team as we work on discrete projects, some of which are qualitative.",NA,NA
"970","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,"Training",NA,NA
"973","Department for Work and Pensions","No longer in official stats role now working in a policy facing role",NA,NA,NA,NA
"974","Other",NA,NA,"best practice guidance. examples from others of successes",NA,NA
"976","Cabinet Office (excl. agencies)",NA,NA,"Don't Know","Purpose of data collection / Analysis and techniques used","Coding is a broad term and without better definition and purpose used for it lacks definition"
"979","Welsh Government",NA,NA,"More training opportunities - potentially online now to avoid travel. Maybe a training newsletter could be trialled to share good source of learning material available online.","If you know someone in work you can ask for help with coding perhaps. Useful for organisations to have such knowledge.","Good to see this survey, thanks for undertaking."
"981","Public Health Scotland",NA,NA,"I feel that what is often lacking is an understand and appreciation for WHY coding and RAP is beneficial. Colleagues who have been doing their job for a long time often lack enthusiasm to learn how to do their job in a new way (coding and RAP as opposed to manual work in Excel and Word), because all they can see is the big upfront time investment to learn and write code for RAP and they can't see the benefits of the long term solution. More support to change attitudes and demonstrate benefits would be a big help.","I will share this survey with my team, however they are just starting out with learning to code and I feel a lot of the questions in the survey may intimidate them. Not sure if it would sit within this survey or be separate, but would be interested to know more about this topic from the perspective of those with no prior coding experience. What holds them back from developing coding skills and implementing RAP? What support do they think they need? ",NA
"982","Department for Environment, Food and Rural Affairs (excl. agencies)","There isn't enough time available to learn and deploy the extra skills needed, e.g. RMarkdown, to be able to implement RAP in much of my work as it calls for fast-paced analysis to tight deadlines.",NA,NA,NA,NA
"983","Welsh Government",NA,NA,"Practical examples using software in training sessions or handbooks that can be used in future when trying to do similar exercises in the future","I was surprised not to see that GIS and its related coding was not included as part of the survey ","A small note (A social researcher is always a social researcher) the regions of Wales seem odd and do not relate to how people in the area live or identify and seem to have followed the EC designations"
"987","Welsh Government",NA,"assuming qual analysis using code is within scope of this survey. Answers given are in relation to my use of MaxQDA and coding text. ",NA,"response options re. qual analysis if it's within scope of this survey; and if not, information which clearly states what is and isn't out of scope ",NA
"988","Ministry of Defence",NA,NA,"Platform availability to use open source coding tools",NA,NA
"991","Department for Transport (excl. agencies)",NA,NA,"More training",NA,NA
"993","Welsh Government",NA,NA,"Workshops available ",NA,NA
"994","Department for Environment, Food and Rural Affairs (excl. agencies)","I would like to learn more about what the different components are there to implement RAP. ",NA,"Some teach-ins on how to implement this. ",NA,NA
"999","Welsh Government",NA,NA,NA,NA,"Not sure why I have been selected for this.  I've never done any coding - nor am I likely to!"
"1002","Welsh Government",NA,NA,NA,NA,"This survey is not relevant t my work or skills."
"1003","Welsh Government",NA,"I am not sure why I received this questionnaire.",NA,NA,"I am not sure why I received this survey."
"1009","Welsh Government",NA,NA,"Do not use coding","Do not use coding","Do not use coding"
"1010","Welsh Government",NA,NA,"na","na","na"
"1011","Welsh Government",NA,NA,"online training",NA,NA
"1013","Welsh Government",NA,NA,"Online training.","Use of qualitative data analysis platforms - slightly different to quant platforms but of equal value in our work and useful to know if / what others are using it for.",NA
"1016","Welsh Government",NA,NA,"introduction","no","n/a"
"1017","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,"Free structured R and Python courses - and actual data to do any coding on/and the time to learn. Time to learn R/Python is the biggest barrier. My SAS/STATA/SPSS skills have all been forgotten as I don't code regularly. ",NA,NA
"1018","Welsh Government",NA,NA,"Awareness raising on the value of coding in data analysis, and subsequent value in evidence based policy, often the biggest problem is justifying to superiors / budget holders (with zero awareness of coding) the need or value added of having the expertise and the software available.",NA,NA
"1020","Welsh Government",NA,NA,NA,"How skills are developed outside of your role. ","My answers to this were based on the work I did on a work-related project for my Data Science MSc. My current role does not require coding skills unless I push to use o for pieces of work."
"1021","Welsh Government",NA,NA,"I don't know - I don't know what RAP is and I'm not convinced that I actually need to have coding skills to have ever given this any thought.","No",NA
"1023","Welsh Government",NA,"I use some of these techniques when doing my own programming pi and Arduino projects like LPWAN, Home automation in c and Python",NA,NA,"Our team is predominately made up of engineers and scientists capable of coding however the current systems do not enable database and coding practice. "
"1024","Welsh Government",NA,NA,"Access to develop environments and appropriate software/ tools",NA,NA
"1026","Welsh Government",NA,NA,"WORKSHOPS, A CHAMPION TO SPOT WHERE THIS WOULD BE POSSIBLE, AND A MENTOR TO WORK WITH SOMEONE IN THE TEAM",NA,NA
"1027","Department of Health and Social Care (excl. agencies)",NA,NA,"Not sure","No",NA
"1028","Welsh Government",NA,"I don't code in my current role",NA,NA,NA
"1029","Public Health Scotland",NA,NA,"Git training.",NA,"For languages - Y/N/Don't know, needs an N/A option for languages which are available to use but not required for your work.
Public (gihub / CRAN / pip) packages for R / Python to perform standard statistical tasks for publishing. e.g. Disclosure control methods.
"
